order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,status
1,473,234,2026-02-05 04:12:07,2,2303.05,4606.1,SHIPPED
2,1501,491,2026-07-25 14:55:29,3,1608.3,4824.9,COMPLETED
3,721,287,2026-08-17 02:46:59,3,2470.71,7412.13,CANCELLED
4,992,310,2026-05-29 16:20:47,4,79.27,317.08,COMPLETED
5,1167,424,2025-09-29 19:34:26,2,32.71,65.42,RETURNED
6,1863,209,2025-06-09 22:02:50,3,1071.72,3215.16,RETURNED
7,588,175,2025-06-09 04:17:41,1,2162.23,2162.23,SHIPPED
8,863,259,2026-02-06 20:58:19,4,1631.97,6527.88,CANCELLED
9,1806,396,2026-04-13 06:33:01,4,2384.68,9538.72,COMPLETED
10,342,62,2026-03-09 09:35:21,5,1883.63,9418.15,CANCELLED
11,1905,241,2026-05-07 03:40:37,2,1115.49,2230.98,RETURNED
12,70,427,2025-07-28 00:52:16,2,1964.55,3929.1,COMPLETED
13,272,264,2026-04-17 14:07:50,4,432.6,1730.4,COMPLETED
14,262,206,2026-08-30 20:16:39,2,1244.94,2489.88,CANCELLED
15,601,61,2025-11-12 12:15:24,5,1732.67,8663.35,PROCESSING
16,1263,56,2026-06-16 01:38:49,1,613.46,613.46,CANCELLED
17,1886,182,2026-07-09 14:53:12,4,1859.9,7439.6,CANCELLED
18,1710,224,2025-10-14 17:22:15,2,2189.75,4379.5,CANCELLED
19,376,371,2026-08-26 03:03:02,2,557.52,1115.04,COMPLETED
20,1216,304,2025-11-30 23:38:38,4,2398.31,9593.24,SHIPPED
21,657,225,2025-07-14 18:31:12,5,1974.25,9871.25,COMPLETED
22,1935,396,2026-03-18 08:27:23,3,2384.68,7154.04,SHIPPED
23,699,25,2026-07-31 18:50:53,5,442.32,2211.6,PROCESSING
24,1041,433,2026-08-28 15:32:07,3,164.2,492.6,COMPLETED
25,787,164,2025-09-30 05:12:49,1,1668.85,1668.85,RETURNED
26,1936,377,2025-07-05 15:40:31,5,886.84,4434.2,COMPLETED
27,1178,451,2026-01-16 03:37:17,3,2452.83,7358.49,COMPLETED
28,340,61,2025-10-18 09:58:13,4,1732.67,6930.68,SHIPPED
29,459,454,2025-09-29 10:30:11,3,63.39,190.17,PROCESSING
30,1544,55,2026-06-03 10:08:40,2,1724.34,3448.68,COMPLETED
31,424,283,2026-08-03 18:31:16,2,2414.32,4828.64,COMPLETED
32,1226,463,2024-07-06 19:39:16,5,522.59,2612.95,RETURNED
33,400,4,2026-05-26 00:56:18,3,1536.44,4609.32,COMPLETED
34,578,483,2026-07-09 15:31:42,4,1027.44,4109.76,PROCESSING
35,259,426,2026-07-22 10:44:18,1,1643.24,1643.24,CANCELLED
36,1447,471,2025-10-28 16:10:49,4,967.81,3871.24,SHIPPED
37,539,45,2025-05-26 10:08:17,1,950.52,950.52,COMPLETED
38,1646,41,2026-02-20 08:05:55,1,322.65,322.65,COMPLETED
39,321,260,2026-03-01 10:03:10,4,734.2,2936.8,CANCELLED
40,1507,263,2026-06-02 02:41:50,3,2170.16,6510.48,COMPLETED
41,888,52,2026-08-19 18:58:47,3,1228.98,3686.94,COMPLETED
42,1724,286,2026-08-12 22:47:41,1,1253.62,1253.62,CANCELLED
43,1285,5,2026-06-24 04:59:00,5,1835.78,9178.9,SHIPPED
44,1787,483,2026-04-10 07:07:27,3,1027.44,3082.32,SHIPPED
45,311,249,2025-01-13 18:05:06,3,269.96,809.88,COMPLETED
46,407,326,2025-06-28 18:47:53,2,632.73,1265.46,COMPLETED
