product_id,product_name,category_id,brand,price,stock_quantity,created_at,is_active
1,Apple Home Product 1,7,Apple,169.29,204,2023-10-20,False
2,Bosch Kitchen Product 2,8,Bosch,2199.31,235,2024-11-04,True
3,Apple Pet Product 3,19,Apple,1619.28,470,2023-07-06,True
4,Logitech Fashion Product 4,12,Logitech,1536.44,414,2024-09-01,True
5,Dell Beauty Product 5,14,Dell,1835.78,234,2024-01-03,True
6,Logitech TV & Video Product 6,6,Logitech,989.94,484,2026-03-10,True
7,JBL Kitchen Product 7,8,JBL,2207.56,275,2023-11-20,True
8,Logitech Smartphones Product 8,3,Logitech,1034.08,390,2024-03-20,False
9,Nike Audio Product 9,4,Nike,1265.94,399,2023-06-06,True
10,LG Beauty Product 10,14,LG,526.36,22,2023-12-04,True
11,Samsung Electronics Product 11,1,Samsung,865.71,204,2025-08-03,True
12,Apple Shoes Product 12,13,Apple,295.56,469,2023-01-22,True
13,Amazon Outdoor Product 13,11,Amazon,1158.78,42,2025-08-08,False
14,Logitech Kitchen Product 14,8,Logitech,1182.26,142,2025-06-15,True
15,Asus TV & Video Product 15,6,Asus,260.28,150,2023-02-06,True
16,Logitech Garden Product 16,18,Logitech,203.19,390,2025-03-11,True
17,Sony Furniture Product 17,9,Sony,453.07,365,2025-06-21,True
18,Dell Garden Product 18,18,Dell,2092.89,415,2025-06-24,False
19,Adidas Audio Product 19,4,Adidas,140.51,2,2024-09-23,True
20,HP Shoes Product 20,13,HP,942.87,122,2024-02-18,True
21,Apple Smartphones Product 21,3,Apple,2473.33,172,2025-05-13,True
22,Dell Smartphones Product 22,3,Dell,1812.79,22,2023-07-17,True
23,Samsung Automotive Product 23,17,Samsung,1409.51,97,2024-10-31,False
24,JBL Home Product 24,7,JBL,2347.92,61,2026-01-14,True
25,Samsung Home Product 25,7,Samsung,442.32,205,2024-12-31,True
26,Adidas Electronics Product 26,1,Adidas,558.04,336,2024-03-11,True
27,Nike Office Product 27,20,Nike,2214.8,210,2023-03-31,True
28,LG Office Product 28,20,LG,1980.24,472,2023-07-28,False
29,Lenovo TV & Video Product 29,6,Lenovo,817.64,323,2023-07-14,True
30,Nike Gaming Product 30,5,Nike,1906.67,352,2023-12-26,True
31,Samsung Toys Product 31,16,Samsung,1525.25,299,2024-11-17,True
32,Bosch Shoes Product 32,13,Bosch,1472.8,6,2024-04-21,True
33,Philips Electronics Product 33,1,Philips,598.63,219,2023-09-12,True
34,Samsung Office Product 34,20,Samsung,942.56,151,2023-05-03,True
35,Adidas Gaming Product 35,5,Adidas,104.39,472,2024-02-23,False
36,Logitech Books Product 36,15,Logitech,702.53,329,2024-11-04,True
37,HP Automotive Product 37,17,HP,2033.65,384,2025-04-29,True
38,Asus Kitchen Product 38,8,Asus,613.2,276,2024-11-09,True
39,HP Kitchen Product 39,8,HP,2183.04,266,2024-03-31,True
40,LG TV & Video Product 40,6,LG,2175.97,35,2023-01-13,True
41,Amazon Computers Product 41,2,Amazon,322.65,88,2023-10-17,False
42,Asus Garden Product 42,18,Asus,1273.49,218,2024-02-23,True
43,Sony Sports Product 43,10,Sony,1065.8,310,2024-02-09,True
44,Lenovo Sports Product 44,10,Lenovo,2419.64,103,2026-03-26,True
45,Samsung Toys Product 45,16,Samsung,950.52,241,2025-01-06,True
46,Bosch Beauty Product 46,14,Bosch,2050.81,406,2025-06-06,True
47,HP Electronics Product 47,1,HP,2136.57,388,2025-02-20,True
48,Bosch Office Product 48,20,Bosch,1819.35,131,2023-11-09,True
49,Lenovo Books Product 49,15,Lenovo,944.12,310,2025-07-17,True
50,Nike Smartphones Product 50,3,Nike,497.33,469,2023-10-07,True
51,Apple Electronics Product 51,1,Apple,1233.72,473,2025-10-22,True
52,Logitech Shoes Product 52,13,Logitech,1228.98,328,2025-02-03,False
53,Adidas Smartphones Product 53,3,Adidas,968.22,289,2023-03-21,True
54,HP Home Product 54,7,HP,1930.46,384,2025-06-12,True
55,Logitech Automotive Product 55,17,Logitech,1724.34,356,2025-09-27,True
56,JBL Shoes Product 56,13,JBL,613.46,17,2025-05-18,True
57,Logitech Electronics Product 57,1,Logitech,1517.53,483,2023-10-30,True
58,Dell Furniture Product 58,9,Dell,2379.93,430,2026-05-18,True
59,Samsung Electronics Product 59,1,Samsung,1781.91,196,2023-07-09,True
60,JBL Pet Product 60,19,JBL,2275.77,448,2023-06-14,True
61,Asus TV & Video Product 61,6,Asus,1732.67,256,2025-05-24,False
62,Philips Shoes Product 62,13,Philips,1883.63,473,2024-09-22,True
63,Amazon Audio Product 63,4,Amazon,2037.43,137,2026-03-18,True
64,Logitech Shoes Product 64,13,Logitech,2467.69,417,2024-09-22,True
65,Samsung Electronics Product 65,1,Samsung,1317.16,335,2023-05-24,True
66,Sony Beauty Product 66,14,Sony,474.14,68,2023-12-28,True
67,Sony Toys Product 67,16,Sony,1132.15,416,2025-10-26,True
68,Dell TV & Video Product 68,6,Dell,2024.85,98,2023-05-01,True
69,LG Beauty Product 69,14,LG,423.65,150,2023-08-12,True
70,Samsung Shoes Product 70,13,Samsung,861.96,299,2024-07-20,True
71,LG Toys Product 71,16,LG,162.03,384,2023-07-26,True
72,HP Pet Product 72,19,HP,535.56,405,2023-03-27,True
73,Philips Shoes Product 73,13,Philips,2331.0,242,2025-12-01,True
74,Adidas Office Product 74,20,Adidas,1707.83,175,2024-11-20,True
75,Nike Kitchen Product 75,8,Nike,1530.91,499,2025-03-27,True
